"","Age","Workclass","Fnlwgt","Education","Education.num","Marital.status","Occupation","Relationship","Race","Sex","Capital.gain","Capital.loss","Hours.per.week","Native.country","Above.Limit"
"46",57,2,337895,10,13,3,10,1,3,2,0,0,40,39,2
"47",53,5,144361,12,9,3,7,1,5,2,0,0,38,39,1
"48",44,5,128354,13,14,1,4,5,5,1,0,0,40,39,1
"49",41,8,101603,9,11,3,3,1,5,2,0,0,40,39,1
"50",29,5,271466,9,11,5,10,2,5,2,0,0,43,39,1
"51",25,5,32275,16,10,3,4,6,4,1,0,0,40,39,1
"52",18,5,226956,12,9,5,8,4,5,1,0,0,30,39,1
"53",47,5,51835,15,15,3,10,6,5,1,0,1902,60,16,2
"54",50,2,251585,10,13,1,4,2,5,2,0,0,55,39,2
"55",47,6,109832,12,9,1,4,2,5,2,0,0,60,39,1
"56",43,5,237993,16,10,3,13,1,5,2,0,0,40,39,2
"57",46,5,216666,5,3,3,7,1,5,2,0,0,40,26,1
"58",35,5,56352,9,11,3,8,1,5,2,0,0,40,33,1
"59",41,5,147372,12,9,3,1,1,5,2,0,0,48,39,1
"60",30,5,188146,12,9,3,7,1,5,2,5013,0,40,39,1
"61",30,5,59496,10,13,3,12,1,5,2,2407,0,40,39,1
"62",32,1,293936,6,4,4,3,2,5,2,0,0,40,39,1
"63",48,5,149640,12,9,3,14,1,5,2,0,0,40,39,1
"64",42,5,116632,11,16,3,10,1,5,2,0,0,45,39,2
"65",29,5,105598,16,10,1,13,2,5,2,0,0,58,39,1
"66",36,5,155537,12,9,3,3,1,5,2,0,0,40,39,1
"67",28,5,183175,16,10,1,1,2,5,1,0,0,40,39,1
"68",53,5,169846,12,9,3,1,6,5,1,0,0,40,39,2
"69",49,6,191681,16,10,3,4,1,5,2,0,0,50,39,2
"70",25,1,200681,16,10,5,3,4,5,2,0,0,40,39,1
"71",19,5,101509,16,10,5,10,4,5,2,0,0,32,39,1
"72",31,5,309974,10,13,6,12,4,3,1,0,0,40,39,1
"74",23,5,211678,16,10,5,7,2,5,2,0,0,40,39,1
"75",79,5,124744,16,10,3,10,3,5,2,0,0,20,39,1
"76",27,5,213921,12,9,5,8,4,5,2,0,0,40,26,1
"77",40,5,32214,8,12,3,1,1,5,2,0,0,40,39,1
"79",18,5,309634,2,7,5,8,4,5,1,0,0,22,39,1
"80",31,3,125927,6,4,3,5,1,5,2,0,0,40,39,1
"81",18,5,446839,12,9,5,12,2,5,2,0,0,30,39,1
"82",52,5,276515,10,13,3,8,1,5,2,0,0,40,5,1
"83",46,5,51618,12,9,3,8,6,5,1,0,0,40,39,1
"84",59,5,159937,12,9,3,12,1,5,2,0,0,48,39,1
"85",44,5,343591,12,9,1,3,2,5,1,14344,0,40,39,2
"86",53,5,346253,12,9,1,12,4,5,1,0,0,35,39,1
"87",49,3,268234,12,9,3,11,1,5,2,0,0,40,39,2
"88",33,5,202051,13,14,3,10,1,5,2,0,0,50,39,1
"89",30,5,54334,7,5,5,12,2,5,2,0,0,40,39,1
"90",43,2,410867,11,16,5,10,2,5,1,0,0,50,39,2
"91",57,5,249977,9,11,3,10,1,5,2,0,0,40,39,1
"92",37,5,286730,16,10,1,3,5,5,1,0,0,40,39,1
"93",28,5,212563,16,10,1,7,5,3,1,0,0,25,39,1
"94",30,5,117747,12,9,3,12,6,2,1,0,1573,35,39,1
"95",34,3,226296,10,13,3,11,1,5,2,0,0,40,39,2
"96",29,3,115585,16,10,5,6,2,5,2,0,0,50,39,1
"97",48,7,191277,11,16,3,10,1,5,2,0,1902,60,39,2
"98",37,5,202683,16,10,3,12,1,5,2,0,0,48,39,2
"99",48,5,171095,8,12,1,4,5,5,1,0,0,40,9,1
"100",32,2,249409,12,9,5,8,4,3,2,0,0,40,39,1
"101",76,5,124191,13,14,3,4,1,5,2,0,0,40,39,2
"102",44,5,198282,10,13,3,4,1,5,2,15024,0,60,39,2
"103",47,7,149116,13,14,5,10,2,5,1,0,0,50,39,1
"104",20,5,188300,16,10,5,13,4,5,1,0,0,40,39,1
"105",29,5,103432,12,9,5,3,2,5,2,0,0,40,39,1
"106",32,6,317660,12,9,3,3,1,5,2,7688,0,40,39,2
"107",17,1,304873,1,6,5,3,4,5,1,34095,0,32,39,1
"108",30,5,194901,2,7,5,6,4,5,2,0,0,40,39,1
"109",31,3,189265,12,9,5,1,2,5,1,0,0,40,39,1
"110",42,5,124692,12,9,3,6,1,5,2,0,0,40,39,1
"111",24,5,432376,10,13,5,12,3,5,2,0,0,40,39,1
"112",38,5,65324,15,15,3,10,1,5,2,0,0,40,39,2
"113",56,7,335605,12,9,3,8,1,5,2,0,1887,50,2,2
"114",28,5,377869,16,10,3,12,6,5,1,4064,0,25,39,1
"115",36,5,102864,12,9,5,7,4,5,1,0,0,40,39,1
"116",53,5,95647,7,5,3,6,1,5,2,0,0,50,39,1
"117",56,6,303090,16,10,3,12,1,5,2,0,0,50,39,1
"118",49,3,197371,9,11,3,3,1,3,2,0,0,40,39,2
"119",55,5,247552,16,10,3,12,1,5,2,0,0,56,39,1
"120",22,5,102632,12,9,5,3,2,5,2,0,0,41,39,1
"121",21,5,199915,16,10,5,8,4,5,1,0,0,40,39,1
"122",40,5,118853,10,13,3,4,1,5,2,0,0,60,39,1
"123",30,5,77143,10,13,5,4,4,3,2,0,0,40,11,1
"124",29,8,267989,10,13,3,10,1,5,2,0,0,50,39,2
"125",19,5,301606,16,10,5,8,4,3,2,0,0,35,39,1
"126",47,5,287828,10,13,3,4,6,5,1,0,0,40,39,2
"127",20,5,111697,16,10,5,1,4,5,1,0,1719,28,39,1
"128",31,5,114937,8,12,3,1,1,5,2,0,0,40,39,2
"129",35,1,129305,12,9,3,3,1,5,2,0,0,40,39,1
"130",39,5,365739,16,10,1,3,2,5,2,0,0,40,39,1
"131",28,5,69621,8,12,5,12,2,5,1,0,0,60,39,1
"132",24,5,43323,12,9,5,8,2,5,1,0,1762,40,39,1
"133",38,7,120985,12,9,3,3,1,5,2,4386,0,35,39,1
"134",37,5,254202,10,13,3,12,1,5,2,0,0,50,39,1
"135",46,5,146195,8,12,1,13,2,3,1,0,0,36,39,1
"136",38,2,125933,13,14,3,10,1,5,2,0,0,40,20,2
"137",43,7,56920,12,9,3,3,1,5,2,0,0,60,39,1
"138",27,5,163127,9,11,3,1,6,5,1,0,0,35,39,1
"139",20,5,34310,16,10,5,12,4,5,2,0,0,20,39,1
"140",49,5,81973,16,10,3,3,1,2,2,0,0,40,39,2
"141",61,6,66614,12,9,3,3,1,5,2,0,0,40,39,1
"142",27,5,232782,16,10,5,12,4,5,1,0,0,40,39,1
"143",19,5,316868,16,10,5,8,4,5,2,0,0,30,26,1
"144",45,5,196584,9,11,5,10,2,5,1,0,1564,40,39,2
"145",70,5,105376,16,10,5,13,3,5,2,0,0,40,39,1
"146",31,5,185814,12,9,5,14,5,3,1,0,0,30,39,1
"147",22,5,175374,16,10,3,8,1,5,2,0,0,24,39,1
"148",36,5,108293,12,9,7,8,5,5,1,0,0,24,39,1
"149",64,5,181232,2,7,3,3,1,5,2,0,2179,40,39,1
"150",43,1,174662,16,10,1,3,2,5,1,0,0,40,39,1
"151",47,3,186009,16,10,1,1,5,5,1,0,0,38,26,1
"152",34,5,198183,12,9,5,1,2,5,1,0,0,40,39,1
"153",33,5,163003,10,13,5,4,3,2,1,0,0,40,30,1
"154",21,5,296158,12,9,5,3,4,5,2,0,0,35,39,1
"155",52,1,252903,12,9,1,3,2,5,2,0,0,45,39,2
"156",48,5,187715,12,9,3,3,1,5,2,0,0,46,39,1
"157",23,5,214542,10,13,5,6,2,5,2,0,0,40,39,1
"159",29,5,191535,12,9,1,3,2,5,2,0,0,60,39,1
"160",42,5,228456,10,13,6,8,3,3,2,0,0,50,39,1
"161",68,1,38317,4,2,1,3,2,5,1,0,0,20,39,1
"162",25,5,252752,12,9,5,8,5,5,1,0,0,40,39,1
"163",44,6,78374,13,14,1,4,5,2,1,0,0,40,39,1
"164",28,5,88419,12,9,5,4,2,2,1,0,0,40,9,1
"165",45,7,201080,13,14,3,12,1,5,2,0,0,40,39,2
"166",36,5,207157,16,10,1,8,5,5,1,0,0,40,26,1
"167",39,2,235485,8,12,5,4,2,5,2,0,0,42,39,1
"168",46,8,102628,13,14,7,11,5,5,2,0,0,40,39,1
"170",66,3,54826,9,11,7,10,2,5,1,0,0,20,39,1
"171",27,5,124953,12,9,5,8,2,5,2,0,1980,40,39,1
"172",28,8,175325,12,9,3,11,1,5,2,0,0,40,39,1
"173",51,5,96062,16,10,3,12,1,5,2,0,1977,40,39,2
"174",27,5,428030,10,13,5,3,2,5,2,0,0,50,39,1
"175",28,8,149624,10,13,3,10,1,5,2,0,0,40,39,2
"176",27,5,253814,12,9,4,12,5,5,1,0,0,25,39,1
"177",21,5,312956,12,9,5,3,4,3,2,0,0,40,39,1
"178",34,5,483777,12,9,5,6,2,3,2,0,0,40,39,1
"181",44,3,181344,16,10,3,4,1,3,2,0,0,38,39,2
"182",43,5,114580,16,10,1,1,2,5,1,0,0,40,39,1
"183",30,5,633742,16,10,5,3,2,3,2,0,0,45,39,1
"184",40,5,286370,6,4,3,7,1,5,2,0,0,40,26,2
"185",37,2,29054,16,10,3,1,1,5,2,0,0,42,39,2
"186",34,5,304030,12,9,3,1,1,3,2,0,0,40,39,1
"187",41,7,143129,10,13,1,4,2,5,1,0,0,40,39,1
"188",53,1,135105,10,13,1,3,2,5,1,0,0,50,39,1
"189",31,5,99928,13,14,3,10,6,5,1,0,0,50,39,1
"191",38,5,155222,16,10,1,7,2,3,1,0,0,28,39,1
"192",24,5,159567,16,10,3,7,1,5,2,0,0,40,39,1
"193",41,3,523910,10,13,3,3,1,3,2,0,0,40,39,1
"194",47,5,120939,16,10,3,13,1,5,2,0,0,45,39,1
"195",41,2,130760,10,13,3,13,1,5,2,0,0,24,39,1
"196",23,5,197387,5,3,3,14,3,5,2,0,0,40,26,1
"197",36,5,99374,16,10,1,3,2,5,2,0,0,40,39,1
"198",40,2,56795,13,14,5,4,2,5,1,14084,0,55,39,2
"199",35,5,138992,13,14,3,10,3,5,2,7298,0,40,39,2
"200",24,7,32921,12,9,5,12,2,5,2,0,0,40,39,1
"201",26,5,397317,13,14,5,10,2,5,1,0,1876,40,39,1
"202",19,1,170653,12,9,5,3,4,5,2,0,0,40,22,1
"203",51,5,259323,10,13,3,4,1,5,2,0,0,50,39,2
"204",42,3,254817,16,10,5,10,2,5,1,0,1340,40,39,1
"205",37,8,48211,12,9,1,1,5,5,1,0,0,35,39,1
"206",18,5,140164,2,7,5,12,4,5,1,0,0,40,39,1
"207",36,5,128757,10,13,3,8,1,3,2,7298,0,36,39,2
"208",35,5,36270,12,9,1,3,2,5,2,0,0,60,39,1
"209",58,6,210563,12,9,3,12,6,5,1,15024,0,35,39,2
"211",44,3,160943,12,9,3,14,1,3,2,0,0,40,39,1
"212",37,5,208358,12,9,3,3,1,5,2,0,0,40,39,2
"213",35,5,153790,16,10,5,12,2,1,1,0,0,40,39,1
"214",60,5,85815,12,9,3,3,1,2,2,0,0,40,39,1
"215",54,6,125417,6,4,3,7,1,5,2,0,0,40,39,2
"216",37,5,635913,10,13,5,4,2,3,2,0,0,60,39,2
"217",50,5,313321,8,12,1,12,2,5,1,0,0,40,39,1
"218",38,5,182609,10,13,3,12,1,5,2,0,0,50,31,1
"219",45,5,109434,10,13,3,10,1,5,2,0,0,55,39,1
"220",25,5,255004,1,6,5,3,2,5,2,0,0,40,39,1
"221",31,5,197860,16,10,3,6,1,5,2,0,0,40,39,1
"222",64,1,187656,4,2,1,3,2,5,2,0,0,40,39,1
"223",90,5,51744,12,9,5,8,2,3,2,0,2206,40,39,1
"224",54,5,176681,12,9,3,1,1,3,2,0,0,20,39,1
"225",53,3,140359,14,1,5,7,2,5,1,0,0,35,39,1
"226",18,5,243313,12,9,5,12,4,5,1,0,0,40,39,1
"228",66,7,167687,12,9,3,5,1,5,2,1409,0,50,39,1
"229",75,5,314209,9,11,7,1,2,5,1,0,0,20,4,1
"230",65,5,176796,12,9,1,1,2,5,1,0,0,40,39,1
"231",35,5,538583,2,7,6,14,2,3,2,3674,0,40,39,1
"232",41,5,130408,12,9,1,12,5,3,1,0,0,38,39,1
"233",25,5,159732,16,10,5,1,2,5,2,0,0,42,39,1
"234",33,5,110978,16,10,1,3,3,4,1,0,0,40,39,1
"235",28,5,76714,15,15,5,10,2,5,2,0,0,55,39,2
"236",59,8,268700,12,9,3,8,1,5,2,0,0,40,39,1
"237",40,8,170525,16,10,5,1,2,5,1,0,0,38,39,1
"238",41,5,180138,10,13,3,4,1,5,2,0,0,50,20,2
"240",23,5,115458,12,9,5,14,4,5,2,0,0,40,39,1
"241",40,5,347890,10,13,3,10,1,5,2,0,0,40,39,2
"242",41,7,196001,12,9,3,8,6,5,1,0,0,20,39,1
"243",24,8,273905,8,12,3,11,1,5,2,0,0,50,39,1
"244",20,1,119156,16,10,5,3,4,5,2,0,0,20,39,1
"245",38,5,179488,16,10,1,3,2,5,2,0,1741,40,39,1
"246",56,5,203580,12,9,3,1,1,5,2,0,0,35,39,1
"247",58,5,236596,12,9,3,1,1,5,2,0,0,45,39,2
"248",32,5,183916,12,9,5,8,2,5,1,0,0,34,39,1
"249",40,5,207578,8,12,3,13,1,5,2,0,1977,60,39,2
"250",45,5,153141,12,9,3,1,1,5,2,0,0,40,39,1
"251",41,5,112763,15,15,3,10,6,5,1,0,0,40,39,2
"252",42,5,390781,10,13,3,1,6,3,1,0,0,40,39,1
"253",59,3,171328,1,6,7,8,5,3,1,0,0,30,39,1
"254",19,3,27382,16,10,5,1,4,5,2,0,0,40,39,1
"255",58,5,259014,16,10,5,14,2,5,2,0,0,20,39,1
"256",42,7,303044,12,9,3,5,1,2,2,0,0,40,1,2
"257",20,5,117789,12,9,5,8,4,5,1,0,0,40,39,1
"258",32,5,172579,12,9,6,8,2,5,1,0,0,30,39,1
"259",45,5,187666,9,11,7,4,2,5,1,0,0,45,39,1
"260",50,5,204518,6,4,1,3,2,5,2,0,0,40,39,1
"261",36,5,150042,10,13,1,10,4,5,1,0,0,40,39,1
"262",45,5,98092,12,9,3,12,1,5,2,0,0,60,39,1
"264",59,5,146013,16,10,3,12,1,5,2,4064,0,40,39,1
"265",26,5,378322,2,7,3,3,1,5,2,0,0,40,39,1
"267",19,1,218956,16,10,5,3,4,5,2,0,0,24,2,1
"268",64,5,21174,12,9,3,4,1,5,2,0,0,40,39,2
"269",33,5,185480,10,13,5,10,2,5,1,0,0,45,39,1
"270",33,5,222205,12,9,3,3,6,5,1,0,0,40,39,2
"271",61,5,69867,12,9,3,4,1,5,2,0,0,40,39,2
"272",17,5,191260,7,5,5,8,4,5,2,1055,0,24,39,1
"274",27,3,209109,13,14,5,10,4,5,2,0,0,35,39,1
"275",30,5,70377,12,9,1,10,4,5,1,0,0,40,39,1
"276",43,5,477983,12,9,3,6,1,3,2,0,0,40,39,1
"277",44,5,170924,16,10,3,3,1,5,2,7298,0,40,39,2
"278",35,5,190174,16,10,5,4,2,5,1,0,0,40,39,1
"279",25,5,193787,16,10,5,13,4,5,1,0,0,40,39,1
"280",24,5,279472,16,10,3,7,6,5,1,7298,0,48,39,2
"282",42,3,97688,16,10,3,3,1,5,2,5178,0,40,39,2
"283",34,5,175413,8,12,1,12,5,3,1,0,0,45,39,1
"284",60,5,173960,10,13,1,10,2,5,1,0,0,42,39,1
"285",21,5,205759,12,9,5,6,4,5,2,0,0,40,39,1
"286",57,2,425161,13,14,3,12,1,5,2,15024,0,40,39,2
"287",41,5,220531,15,15,3,10,1,5,2,0,0,60,39,2
"288",50,5,176609,16,10,1,8,2,5,2,0,0,45,39,1
"289",25,5,371987,10,13,5,4,2,5,1,0,0,40,39,1
"290",50,5,193884,6,4,3,3,1,5,2,0,0,40,7,1
"291",36,5,200352,10,13,3,10,1,5,2,0,0,45,39,1
"292",31,5,127595,12,9,1,10,2,5,1,0,0,40,39,1
"293",29,3,220419,10,13,5,11,2,5,2,0,0,56,39,1
"294",21,5,231931,16,10,5,12,4,5,2,0,0,45,39,1
"295",27,5,248402,10,13,5,13,5,3,1,0,0,40,39,1
"297",37,6,57424,10,13,1,12,2,5,1,0,0,60,39,1
"298",39,1,157443,13,14,3,3,6,2,1,3464,0,40,39,1
"299",24,5,278130,12,9,5,3,4,5,2,0,0,40,39,1
"301",48,5,146268,10,13,3,1,1,5,2,7688,0,40,39,2
"302",21,5,153718,16,10,5,8,2,2,1,0,0,25,39,1
"303",31,5,217460,12,9,3,14,1,5,2,0,0,45,39,2
"304",55,5,238638,12,9,3,12,1,5,2,4386,0,40,39,2
"305",24,5,303296,16,10,3,1,6,2,1,0,0,40,25,1
"306",43,5,173321,12,9,1,1,2,5,1,0,0,40,39,1
"307",26,5,193945,8,12,5,13,2,5,2,0,0,45,39,1
"308",46,5,83082,8,12,5,10,2,5,1,0,0,33,39,1
"309",35,5,193815,8,12,3,1,1,5,2,0,0,40,39,2
"310",41,6,34987,16,10,3,5,1,5,2,0,0,54,39,2
"311",26,5,59306,10,13,5,12,2,5,2,0,0,40,39,1
"312",34,5,142897,13,14,3,4,1,2,2,7298,0,35,36,2
"313",19,1,860348,16,10,5,3,4,3,1,0,0,25,39,1
"314",36,7,205607,10,13,1,10,2,3,1,0,0,40,39,2
"316",24,5,191954,16,10,5,7,2,5,2,0,0,40,39,1
"317",77,7,138714,16,10,3,12,1,5,2,0,0,40,39,1
"318",22,5,399087,5,3,3,7,3,5,1,0,0,40,26,1
"319",29,5,423158,16,10,5,13,2,5,1,0,0,40,39,1
"320",62,5,159841,12,9,7,8,2,5,1,0,0,24,39,1
"321",39,7,174308,12,9,3,4,1,5,2,0,0,40,39,1
"322",43,5,50356,16,10,3,3,1,5,2,0,1485,50,39,1
"323",35,5,186110,12,9,1,14,2,5,2,0,0,45,39,1
"324",29,5,200381,2,7,5,4,2,5,1,0,0,40,39,1
"326",63,7,78383,12,9,3,5,1,5,2,0,0,45,39,1
"328",43,5,187728,16,10,3,10,6,5,1,0,1887,50,39,2
"329",58,7,321171,12,9,3,6,1,5,2,0,0,40,39,1
"330",66,5,127921,12,9,5,14,2,5,2,2050,0,55,39,1
"331",41,5,206565,16,10,5,3,2,3,2,0,0,45,39,1
"332",26,5,224563,10,13,5,1,2,5,2,0,0,40,39,1
"333",47,5,178686,9,11,5,8,2,5,2,0,0,40,39,1
"334",55,3,98545,1,6,3,1,1,5,2,0,0,40,39,1
"335",53,5,242606,12,9,3,14,1,5,2,0,0,40,39,1
"336",17,5,270942,5,3,5,8,3,5,2,0,0,48,26,1
"337",30,5,94235,12,9,5,3,3,5,2,0,0,40,39,1
"338",49,5,71195,13,14,5,10,2,5,2,0,0,60,39,1
"339",19,5,104112,12,9,5,12,5,3,2,0,0,30,14,1
"340",45,5,261192,12,9,3,8,1,3,2,0,0,40,39,1
"341",26,5,94936,8,12,5,12,2,5,2,0,0,40,39,1
"342",38,5,296478,9,11,3,3,1,5,2,7298,0,40,39,2
"343",36,8,119272,12,9,3,11,1,5,2,7298,0,40,39,2
"344",33,5,85043,12,9,5,5,2,5,2,0,0,20,39,1
"345",22,8,293364,16,10,5,11,4,3,1,0,0,40,39,1
"346",43,7,241895,10,13,5,12,2,5,2,0,0,42,39,1
"348",30,1,151989,9,11,1,3,5,5,1,0,0,40,39,1
"349",56,5,101128,8,12,4,8,2,5,2,0,0,25,20,1
"350",31,5,156464,10,13,5,10,4,5,2,0,0,25,39,1
"351",33,5,117963,10,13,3,4,1,5,2,0,0,40,39,2
"352",26,5,192262,12,9,3,8,1,5,2,0,0,40,39,1
"353",33,5,111363,10,13,3,4,1,5,2,0,0,40,39,2
"354",46,3,329752,2,7,3,14,1,5,2,0,0,30,39,1
"355",59,1,372020,10,13,3,3,1,5,2,0,0,40,39,2
"356",38,2,95432,12,9,3,1,1,5,2,0,0,40,39,2
"357",65,5,161400,2,7,7,8,5,4,2,0,0,40,39,1
"358",40,5,96129,9,11,3,13,1,5,2,0,0,40,39,2
"359",42,5,111949,12,9,3,1,6,5,1,0,0,35,39,1
"360",26,7,117125,7,5,3,3,1,5,2,0,0,40,32,1
"361",36,5,348022,1,6,3,8,6,5,1,0,0,24,39,1
"362",62,5,270092,13,14,3,10,1,5,2,0,0,40,39,2
"363",43,5,180609,10,13,3,14,1,5,2,0,0,45,39,1
"364",43,5,174575,10,13,1,4,2,5,2,0,1564,45,39,2
"365",22,5,410439,12,9,4,12,2,5,2,0,0,55,39,1
"366",28,5,92262,12,9,3,3,1,5,2,0,0,40,39,1
"367",56,7,183081,16,10,3,12,1,5,2,0,0,45,39,1
"369",57,5,212448,10,13,1,4,2,5,1,0,0,45,39,2
"370",39,5,481060,12,9,1,12,5,5,1,0,0,40,39,1
"373",40,8,184018,9,11,3,7,1,5,2,0,0,38,39,2
"374",45,5,256649,12,9,3,7,1,3,2,0,0,40,39,1
"375",44,5,160323,12,9,5,3,2,3,2,0,0,40,39,1
"377",33,5,267404,12,9,3,3,6,5,1,0,0,40,39,1
"378",23,5,35633,16,10,5,12,2,5,2,0,0,40,39,1
"379",46,7,80914,13,14,1,4,2,5,2,0,0,30,39,1
"380",38,5,172927,12,9,3,12,1,5,2,0,0,50,39,1
"381",54,5,174319,12,9,1,14,2,5,2,0,0,40,39,1
"382",46,5,214955,5,3,1,3,2,5,1,0,2339,45,39,1
"383",25,5,344991,16,10,3,3,1,5,2,0,0,40,39,1
"384",46,5,108699,16,10,1,12,2,5,1,0,0,40,39,1
"385",36,3,117312,16,10,3,14,6,5,1,0,0,40,39,1
"386",23,5,396099,12,9,5,8,2,5,1,0,0,25,39,1
"387",29,5,134152,12,9,6,7,2,5,2,0,0,40,39,1
"390",19,5,232392,12,9,5,8,3,5,1,0,0,40,39,1
"391",35,5,220098,12,9,3,8,6,5,1,0,0,40,39,2
"392",27,5,301302,10,13,5,3,2,5,2,0,0,50,39,1
"393",46,7,277946,8,12,6,3,2,5,2,0,0,40,39,1
"394",34,8,98101,10,13,3,4,1,5,2,7688,0,45,39,2
"395",34,5,196164,12,9,5,8,2,5,1,0,0,35,39,1
"396",44,5,115562,16,10,3,13,1,5,2,0,0,40,39,1
"397",45,5,96975,16,10,1,6,5,5,1,0,0,40,39,1
"398",20,1,137300,12,9,5,3,3,5,1,0,0,35,39,1
"399",25,5,86872,10,13,3,4,1,5,2,0,0,55,39,2
"400",52,6,132178,10,13,3,4,1,5,2,0,0,50,39,2
"401",20,5,416103,16,10,5,6,4,5,2,0,0,40,39,1
"402",28,5,108574,16,10,5,8,2,5,1,0,0,40,39,1
"403",50,8,288353,10,13,3,11,1,5,2,0,0,40,39,2
"405",28,5,166481,6,4,3,6,1,4,2,0,2179,40,33,1
"407",28,5,110145,12,9,3,1,1,5,2,0,0,40,39,1
"408",46,7,317253,12,9,3,3,1,5,2,0,0,25,39,1
"409",28,1,123147,16,10,3,3,6,5,1,0,1887,40,39,2
"410",32,5,364657,16,10,3,4,1,5,2,0,0,50,39,1
"411",41,3,42346,16,10,1,8,2,3,1,0,0,24,39,1
"412",24,5,241951,12,9,5,6,5,3,1,0,0,40,39,1
"413",33,5,118500,16,10,1,4,5,5,1,0,0,40,39,1
"414",46,5,188386,11,16,3,4,1,5,2,15024,0,60,39,2
"415",31,8,1033222,16,10,3,7,1,5,2,0,0,40,39,1
"416",35,5,92440,3,8,1,3,2,5,2,0,0,50,39,2
"417",52,5,190762,4,2,3,7,1,5,2,0,0,40,26,1
"418",30,5,426017,2,7,5,8,4,5,1,0,0,19,39,1
"419",34,3,243867,2,7,6,7,2,3,2,0,0,40,39,1
"420",34,8,240283,12,9,1,14,5,5,1,0,0,40,39,1
"421",20,5,61777,16,10,3,12,1,5,2,0,0,30,39,1
"423",32,8,92003,10,13,3,4,6,5,1,0,0,40,39,2
"424",29,5,188401,12,9,1,5,2,5,2,0,0,40,39,1
"425",33,5,228528,1,6,5,3,5,5,1,0,0,35,39,1
"426",25,5,133373,12,9,3,14,1,5,2,0,0,60,39,1
"427",36,2,255191,13,14,5,10,2,5,2,0,1408,40,39,1
"429",63,6,222289,12,9,3,4,1,5,2,0,0,40,39,2
"430",47,3,287480,13,14,3,10,1,5,2,0,0,40,39,1
"431",80,1,107762,12,9,7,3,2,5,2,0,0,24,39,1
"432",17,1,202521,2,7,5,3,4,5,2,0,0,40,39,1
"433",40,7,204116,10,13,4,10,2,5,1,2174,0,40,39,1
"434",30,5,29662,8,12,3,8,6,5,1,0,0,25,39,2
"435",27,5,116358,16,10,5,3,4,2,2,0,1980,40,30,1
"436",33,5,208405,13,14,3,10,1,5,2,0,0,50,39,2
"437",34,3,284843,12,9,5,5,2,3,2,594,0,60,39,1
"438",34,3,117018,16,10,5,11,2,5,1,0,0,40,39,1
"439",23,5,81281,16,10,3,1,1,5,2,0,0,40,39,1
"440",42,3,340148,16,10,3,1,6,5,1,0,0,40,39,1
